,DATE,MATCHUP,MIN,H_TEAM,A_TEAM,H_FGM,H_FGA,H_FGPerc,H_3PM,H_3PA,H_ThreePPerc,H_FTM,H_FTA,H_FTPerc,H_OREB,H_DREB,H_REB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_EFGPerc,H_FTR,H_TOVPerc,A_FGM,A_FGA,A_FGPerc,A_3PM,A_3PA,A_ThreePPerc,A_FTM,A_FTA,A_FTPerc,A_OREB,A_DREB,A_REB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_EFGPerc,A_FTR,A_TOVPerc,Target
116,4/6/19,MIL vs. BKN,241,MIL,BKN,49,88,55.7,16,34,47.1,14,21,0.667,6,37,43,28,7,4,14,18,0.6477272727272727,0.23863636363636365,12.5854009349155,48,97,49.5,19,45,42.2,18,23,0.7829999999999999,12,31,43,25,7,0,10,19,0.5927835051546392,0.2371134020618557,8.538251366120218,0
117,4/5/19,CHA vs. TOR,240,CHA,TOR,44,94,46.8,13,39,33.3,12,14,0.857,8,32,40,28,6,2,6,17,0.5372340425531915,0.14893617021276595,5.651846269781463,43,80,53.8,9,26,34.6,16,20,0.8,5,38,43,27,2,5,14,17,0.59375,0.25,13.618677042801556,1
118,4/5/19,DAL vs. MEM,239,DAL,MEM,41,96,42.7,17,47,36.2,13,21,0.619,11,31,42,28,4,4,9,13,0.515625,0.21875,7.878151260504201,46,96,47.9,16,41,39.0,14,16,0.875,12,38,50,30,7,2,10,16,0.5625,0.16666666666666666,8.846426043878274,0
119,4/5/19,DEN vs. POR,240,DEN,POR,43,84,51.2,7,27,25.9,26,29,0.897,12,27,39,27,10,4,9,19,0.5535714285714286,0.34523809523809523,8.509833585476551,42,86,48.8,10,29,34.5,16,20,0.8,12,28,40,24,6,2,14,23,0.5465116279069767,0.2325581395348837,12.867647058823529,1
120,4/5/19,GSW vs. CLE,240,GSW,CLE,46,87,52.9,20,37,54.1,8,8,1.0,4,34,38,29,2,8,13,21,0.6436781609195402,0.09195402298850576,12.557959814528596,43,97,44.3,7,30,23.3,21,23,0.9129999999999999,12,36,48,21,9,1,5,11,0.4793814432989691,0.2371134020618557,4.459507670353193,1
121,4/5/19,HOU vs. NYK,241,HOU,NYK,43,101,42.6,22,59,37.3,12,17,0.706,7,41,48,26,8,2,6,21,0.5346534653465347,0.16831683168316833,5.241090146750524,37,82,45.1,6,27,22.2,16,27,0.593,5,48,53,22,3,6,15,17,0.4878048780487805,0.32926829268292684,13.776634827332845,1
122,4/5/19,IND vs. BOS,240,IND,BOS,38,92,41.3,10,23,43.5,11,19,0.579,10,35,45,24,5,3,11,15,0.4673913043478261,0.2065217391304348,9.87787356321839,48,92,52.2,7,27,25.9,14,16,0.875,7,42,49,27,7,6,11,15,0.5597826086956522,0.17391304347826084,9.996364958197018,0
123,4/5/19,LAC vs. LAL,241,LAC,LAL,40,91,44.0,10,29,34.5,27,31,0.871,7,38,45,29,7,8,11,22,0.4945054945054945,0.3406593406593407,9.512279488066412,43,96,44.8,14,32,43.8,22,27,0.815,14,41,55,28,8,10,14,24,0.5208333333333334,0.28125,11.486708237610765,0
124,4/5/19,MIN vs. MIA,240,MIN,MIA,43,86,50.0,8,24,33.3,17,21,0.81,9,34,43,25,10,2,18,18,0.5465116279069767,0.2441860465116279,15.895443306252208,45,88,51.1,10,34,29.4,9,12,0.75,9,29,38,24,10,6,17,23,0.5681818181818182,0.13636363636363635,15.41530649256438,1
125,4/5/19,OKC vs. DET,240,OKC,DET,48,101,47.5,12,29,41.4,15,22,0.682,21,38,59,30,10,4,17,24,0.5346534653465347,0.21782178217821785,13.314536340852133,35,81,43.2,15,41,36.6,25,31,0.8059999999999999,4,28,32,20,10,8,14,23,0.5246913580246914,0.382716049382716,12.886597938144329,1
