,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio
1453,0.682,0.6049382716049383,0.2716049382716049,0.5211573066470477,0.6296296296296297,0.27386127875258304,1.1346008899494893,0.792,0.45625,0.275,0.7400828044922853,0.3703703703703704,0.04938271604938271,1.0795979697076181
1454,0.759,0.5684210526315789,0.29473684210526313,0.5525062514530825,0.5494505494505495,0.2279211529192759,1.226252256350615,0.677,0.5324675324675324,0.3376623376623377,0.796558620805486,0.4505494505494506,0.06315789473684211,1.077217345015942
1455,0.75,0.4387755102040816,0.3979591836734694,0.3499271061118826,0.5148514851485149,0.26413527189768715,1.0597691651805858,0.7,0.5232558139534884,0.2790697674418605,0.5839496294503805,0.4851485148514851,0.12244897959183673,1.1086834179687215
1456,0.8,0.6363636363636364,0.3896103896103896,0.5096471914376255,0.5205479452054794,0.28529870107872785,1.0733814141328757,0.889,0.5232558139534884,0.2441860465116279,0.6763842923943563,0.4794520547945205,0.03896103896103896,1.143077757819911
1457,0.8,0.4803921568627451,0.2352941176470588,0.3834824944236852,0.5849056603773585,0.25677629550654774,1.091641124400291,0.75,0.467032967032967,0.4395604395604396,0.6475445426291285,0.4150943396226415,0.05882352941176471,1.102923569026739
1458,0.667,0.43604651162790703,0.3953488372093023,0.457495710997814,0.4597701149425287,0.105999788000636,1.0260246583827295,1.0,0.6123595505617978,0.39325842696629215,0.5789652507508507,0.5402298850574713,0.04651162790697674,1.1614357231753412
1459,0.643,0.425531914893617,0.2553191489361702,0.5457768229098153,0.5517241379310345,0.18786728732554484,1.0115651773829568,0.9229999999999999,0.5764705882352941,0.3176470588235294,0.625361451032538,0.4482758620689655,0.031914893617021274,1.122462048309373
1460,0.429,0.5301204819277109,0.21686746987951808,0.5808178695515156,0.4555555555555556,0.10660035817780522,1.0801543205479764,0.875,0.5738636363636364,0.4431818181818182,0.6529942057256105,0.5444444444444444,0.07228915662650602,1.066387832715179
1461,0.65,0.4858490566037736,0.2452830188679245,0.4343722427630694,0.5436893203883495,0.27583864218368526,1.1934067037544125,0.762,0.5054347826086957,0.32608695652173914,0.6912065848593707,0.4563106796116505,0.09433962264150944,1.107587336327498
1462,0.76,0.5224719101123596,0.25842696629213485,0.52999894000318,0.4597701149425287,0.14907119849998599,1.2009369551760027,0.611,0.5277777777777778,0.3555555555555556,0.668740304976422,0.5402298850574713,0.0449438202247191,1.0795979697076181
1463,0.684,0.6193181818181818,0.2159090909090909,0.4646601886422926,0.5730337078651685,0.23312620206007845,1.0790989640951456,0.8420000000000001,0.44565217391304346,0.2608695652173913,0.6741265679182159,0.42696629213483145,0.011363636363636364,1.0439081620614667
1464,0.7190000000000001,0.6705882352941176,0.5058823529411764,0.6135719910778964,0.5232558139534884,0.18156825980064073,1.1477227505006158,0.917,0.554945054945055,0.3406593406593407,0.7166258375282707,0.4767441860465117,0.023529411764705882,1.091641124400291
1465,0.815,0.512987012987013,0.4155844155844156,0.592156525463792,0.4565217391304348,0.27144835701531844,1.0378908155562134,0.593,0.4,0.3578947368421053,0.7301465537706682,0.5434782608695652,0.012987012987012988,1.0597691651805858
