,key_0,key_1,H_TEAM,DATE_x,MATCHUP_x,W/L,MIN,H_PTS,H_FGM,H_FGA,H_FGPerc,H_3PM,H_3PA,H_ThreePPerc,H_FTM,H_FTA,H_FTPerc,H_OREB,H_DREB,H_REB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_+/,H_EFGPerc,H_FTR,H_TOVPerc,Away_Team_x,A_TEAM,DATE_y,MATCHUP_y,A_W/L,A_MIN,A_PTS,A_FGM,A_FGA,A_FGPerc,A_3PM,A_3PA,A_ThreePPerc,A_FTM,A_FTA,A_FTPerc,A_OREB,A_DREB,A_REB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_+/,A_EFGPerc,A_FTR,A_TOVPerc,Away_Team_y
128,4/5/19,SAC,UTA,4/5/19,UTA vs. SAC,W,240,119,44,85,51.8,15,33,45.5,16,25,64.0,7,39,46,30,9,6,16,26,21.0,0.6058823529411764,0.29411764705882354,14.285714285714285,SAC,SAC,4/5/19,SAC @ UTA,L,240,98,38,92,41.3,5,21,23.8,17,25,68.0,12,35,47,17,7,1,18,23,-21.0,0.44021739130434784,0.2717391304347826,14.87603305785124,SAC
129,4/5/19,SAS,WAS,4/5/19,WAS vs. SAS,L,241,112,42,88,47.7,9,32,28.1,19,22,86.4,9,25,34,22,2,4,9,16,-17.0,0.5284090909090909,0.25,8.43644544431946,SAS,SAS,4/5/19,SAS @ WAS,W,241,129,51,91,56.0,10,25,40.0,17,20,85.0,12,30,42,34,3,4,9,18,17.0,0.6153846153846154,0.21978021978021975,8.272058823529411,SAS
130,4/4/19,GSW,LAL,4/4/19,LAL vs. GSW,L,240,90,37,104,35.6,8,37,21.6,8,14,57.1,18,44,62,25,10,7,18,10,-18.0,0.3942307692307692,0.1346153846153846,14.044943820224722,GSW,GSW,4/4/19,GSW @ LAL,W,241,108,43,98,43.9,18,46,39.1,4,5,80.0,9,42,51,30,11,5,14,18,18.0,0.5306122448979592,0.051020408163265314,12.259194395796847,GSW
131,4/4/19,MIL,PHI,4/4/19,PHI vs. MIL,L,240,122,45,95,47.4,18,36,50.0,14,18,77.8,4,39,43,36,4,8,13,26,-6.0,0.5684210526315789,0.18947368421052632,11.214630779848173,MIL,MIL,4/4/19,MIL @ PHI,W,239,128,42,93,45.2,12,34,35.3,32,43,74.4,8,42,50,26,5,6,10,18,6.0,0.5161290322580645,0.4623655913978494,8.202099737532809,MIL
132,4/4/19,CLE,SAC,4/4/19,SAC vs. CLE,W,241,117,48,97,49.5,14,38,36.8,7,10,70.0,8,28,36,28,12,3,6,14,13.0,0.5670103092783505,0.10309278350515463,5.58659217877095,CLE,CLE,4/4/19,CLE @ SAC,L,240,104,44,81,54.3,11,25,44.0,5,9,55.6,10,40,50,20,3,1,20,13,-13.0,0.6111111111111112,0.1111111111111111,19.054878048780488,CLE
133,4/3/19,PHI,ATL,4/3/19,ATL vs. PHI,W,240,130,48,92,52.2,12,36,33.3,22,28,78.6,11,33,44,29,7,7,11,26,8.0,0.5869565217391305,0.3043478260869565,9.538674991328477,PHI,PHI,4/3/19,PHI @ ATL,L,241,122,45,98,45.9,10,31,32.3,22,38,57.9,26,31,57,27,8,4,13,24,-8.0,0.5102040816326531,0.3877551020408163,10.178515502662073,PHI
134,4/3/19,TOR,BKN,4/3/19,BKN vs. TOR,L,240,105,41,86,47.7,10,32,31.3,13,21,61.9,9,44,53,23,3,2,14,19,-10.0,0.5348837209302325,0.2441860465116279,12.815818381545222,TOR,TOR,4/3/19,TOR @ BKN,W,239,115,44,105,41.9,15,38,39.5,12,14,85.7,17,35,52,29,9,1,7,16,10.0,0.4904761904761905,0.13333333333333333,5.924170616113744,TOR
135,4/3/19,MIN,DAL,4/3/19,DAL vs. MIN,L,240,108,43,94,45.7,7,39,17.9,15,19,78.9,12,37,49,26,2,5,13,20,-2.0,0.4946808510638298,0.20212765957446807,11.269070735090153,MIN,MIN,4/3/19,MIN @ DAL,W,241,110,42,86,48.8,10,27,37.0,16,20,80.0,5,33,38,26,6,3,8,25,2.0,0.5465116279069767,0.2325581395348837,7.782101167315174,MIN
136,4/3/19,SAS,DEN,4/3/19,DEN vs. SAS,W,242,113,47,87,54.0,12,33,36.4,7,12,58.3,8,39,47,41,6,3,14,20,28.0,0.6091954022988506,0.13793103448275862,13.172751223184044,SAS,SAS,4/3/19,SAS @ DEN,L,241,85,31,81,38.3,5,27,18.5,18,25,72.0,11,27,38,15,9,7,11,14,-28.0,0.41358024691358025,0.308641975308642,10.679611650485436,SAS
137,4/3/19,IND,DET,4/3/19,DET vs. IND,L,241,89,31,80,38.8,11,41,26.8,16,24,66.7,11,35,46,21,6,5,18,25,-19.0,0.45625,0.3,16.58069270449521,IND,IND,4/3/19,IND @ DET,W,239,108,43,92,46.7,6,21,28.6,16,22,72.7,10,34,44,31,9,4,11,18,19.0,0.5,0.2391304347826087,9.762158324458644,IND
138,4/3/19,HOU,LAC,4/3/19,LAC vs. HOU,L,239,103,38,82,46.3,8,26,30.8,19,31,61.3,9,29,38,27,11,2,16,22,-32.0,0.5121951219512195,0.3780487804878049,14.331780723754928,HOU,HOU,4/3/19,HOU @ LAC,W,239,135,47,88,53.4,18,38,47.4,23,29,79.3,12,36,48,22,6,7,16,29,32.0,0.6363636363636364,0.3295454545454545,13.703323055841038,HOU
139,4/3/19,BOS,MIA,4/3/19,MIA vs. BOS,L,240,102,39,95,41.1,12,36,33.3,12,20,60.0,16,31,47,25,6,5,15,23,-10.0,0.4736842105263158,0.21052631578947367,12.626262626262625,BOS,BOS,4/3/19,BOS @ MIA,W,239,112,38,80,47.5,9,24,37.5,27,31,87.1,6,36,42,25,8,7,11,21,10.0,0.53125,0.3875,10.51223241590214,BOS
140,4/3/19,CHA,NOP,4/3/19,NOP vs. CHA,L,240,109,40,85,47.1,15,41,36.6,14,17,82.4,7,41,48,25,7,4,19,27,-6.0,0.5588235294117647,0.2,17.043415859346965,CHA,CHA,4/3/19,CHA @ NOP,W,240,115,38,90,42.2,12,34,35.3,27,32,84.4,11,37,48,19,13,5,11,15,6.0,0.4888888888888889,0.3555555555555556,9.558567952728538,CHA
141,4/3/19,NYK,ORL,4/3/19,ORL vs. NYK,W,241,114,45,99,45.5,11,32,34.4,13,20,65.0,19,36,55,29,5,7,13,16,14.0,0.5101010101010099,0.202020202020202,10.761589403973513,NYK,NYK,4/3/19,NYK @ ORL,L,241,100,38,85,44.7,6,27,22.2,18,21,85.7,8,31,39,21,10,5,12,18,-14.0,0.4823529411764706,0.24705882352941175,11.295180722891569,NYK
