,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio,Target
3830,0.7140000000000001,0.5722222222222222,0.2111111111111111,0.07777777777777778,0.56,0.0,2.6,0.769,0.5273972602739726,0.2876712328767123,0.3561643835616438,0.44,0.05555555555555555,1.8571428571428572,1
3831,0.688,0.6149425287356322,0.2988505747126437,0.1839080459770115,0.5529411764705883,0.06329113924050633,1.7857142857142858,0.609,0.5253164556962026,0.43037974683544306,0.2911392405063291,0.4470588235294118,0.04597701149425287,1.263157894736842,1
3832,0.696,0.38333333333333336,0.24444444444444444,0.25555555555555554,0.5056179775280899,0.03614457831325301,1.1111111111111112,0.706,0.5843373493975904,0.3373493975903614,0.20481927710843373,0.4943820224719101,0.1111111111111111,1.8235294117647058,0
3833,0.826,0.3780487804878049,0.23170731707317074,0.2804878048780488,0.5368421052631579,0.16470588235294117,0.8235294117647058,0.667,0.4588235294117647,0.36470588235294116,0.21176470588235294,0.4631578947368421,0.0975609756097561,2.125,0
3834,0.583,0.5822784810126582,0.3670886075949367,0.1518987341772152,0.5,0.024390243902439025,2.3636363636363638,0.789,0.5487804878048781,0.3902439024390244,0.23170731707317074,0.5,0.06329113924050633,2.0,0
3835,0.923,0.5206185567010311,0.28865979381443296,0.13402061855670105,0.5445544554455446,0.08602150537634409,1.625,0.63,0.5053763440860215,0.3118279569892473,0.2903225806451613,0.45544554455445546,0.041237113402061855,1.9230769230769231,1
3836,0.7,0.48125,0.2875,0.25,0.5697674418604651,0.07954545454545454,0.9473684210526315,0.8,0.4886363636363637,0.32954545454545453,0.11363636363636365,0.43023255813953487,0.05,2.3636363636363638,0
3837,0.818,0.4551282051282051,0.28205128205128205,0.28205128205128205,0.48484848484848486,0.08888888888888889,0.9473684210526315,0.731,0.4777777777777778,0.23333333333333334,0.2888888888888889,0.5151515151515151,0.0641025641025641,2.0,0
3838,0.7140000000000001,0.4430379746835443,0.3291139240506329,0.26582278481012656,0.5517241379310345,0.07058823529411765,0.68,0.92,0.4411764705882353,0.25882352941176473,0.29411764705882354,0.4482758620689655,0.10126582278481013,0.9411764705882353,0
3839,0.765,0.53,0.32,0.17,0.6046511627906976,0.06578947368421052,2.727272727272727,0.655,0.5592105263157895,0.3026315789473684,0.3815789473684211,0.3953488372093023,0.08,1.4285714285714286,1
3840,0.81,0.54375,0.4,0.2625,0.46835443037974683,0.07058823529411765,1.7142857142857142,0.8,0.5941176470588235,0.5882352941176471,0.2352941176470588,0.5316455696202531,0.025,1.9285714285714286,0
3841,0.833,0.5,0.425,0.225,0.5789473684210527,0.10843373493975904,1.0625,0.667,0.3614457831325301,0.30120481927710846,0.14457831325301204,0.42105263157894735,0.05,0.7857142857142857,1
3842,0.636,0.4534883720930232,0.36046511627906974,0.2558139534883721,0.46875,0.07142857142857142,0.9473684210526315,0.75,0.5357142857142857,0.3877551020408163,0.08163265306122447,0.53125,0.06976744186046512,2.0,0
3843,0.722,0.5674157303370787,0.2247191011235955,0.20224719101123595,0.5641025641025641,0.03488372093023256,2.0,0.9,0.5872093023255814,0.36046511627906974,0.2325581395348837,0.4358974358974359,0.0898876404494382,3.111111111111111,0
3844,0.741,0.65,0.4,0.3,0.5189873417721519,0.03333333333333333,3.0,0.947,0.5944444444444444,0.32222222222222224,0.2111111111111111,0.4810126582278481,0.06666666666666667,3.0,1
3845,0.944,0.5178571428571429,0.2857142857142857,0.21428571428571427,0.5057471264367817,0.03529411764705882,1.4375,0.742,0.5941176470588235,0.3764705882352941,0.3647058823529412,0.4942528735632184,0.047619047619047616,2.888888888888889,0
3846,0.84,0.5308641975308642,0.2345679012345679,0.30864197530864196,0.5697674418604651,0.09333333333333334,1.6923076923076923,0.767,0.4066666666666667,0.3466666666666667,0.4,0.43023255813953487,0.04938271604938271,1.3571428571428572,1
