,PTS,FGM,FGA,FGPerc,3PM,3PA,3PPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFGPerc,FTR
54,116.0,35.0,81.0,43.2,16.0,40.0,40.0,30.0,32.0,93.8,6.0,38.0,44.0,24.0,9.0,3.0,17.0,27.0,0.5308641975308642,0.3950617283950617
55,137.0,52.5,104.0,45.4,15.0,42.0,35.7,14.0,20.0,70.0,20.5,42.0,61.5,28.0,11.0,8.0,20.0,27.0,0.5168067226890757,0.16806722689075632
56,123.0,42.0,83.0,50.6,15.0,37.0,40.5,24.0,36.0,66.7,7.0,37.0,44.0,23.0,8.0,7.0,15.0,26.0,0.5963855421686747,0.43373493975903615
57,139.0,52.0,104.0,41.9,12.0,42.0,28.6,24.0,28.0,85.7,20.5,38.0,61.5,23.0,13.0,5.0,13.0,24.0,0.4677419354838709,0.2258064516129032
58,116.0,43.0,84.0,51.2,10.0,23.0,43.5,20.0,23.0,87.0,9.0,36.0,45.0,29.0,4.0,8.0,13.0,17.0,0.5714285714285714,0.27380952380952384
59,95.0,35.0,83.0,42.2,7.0,27.0,25.9,18.0,23.0,78.3,8.0,27.0,35.0,15.0,7.0,4.0,9.0,17.0,0.463855421686747,0.27710843373493976
60,90.0,34.0,98.0,34.7,6.0,29.0,20.7,16.0,26.0,61.5,20.5,35.0,58.0,20.0,6.0,5.0,9.0,19.0,0.3775510204081632,0.2653061224489796
61,97.0,36.0,85.0,42.4,9.0,29.0,31.0,16.0,20.0,80.0,7.0,40.0,47.0,18.0,5.0,6.0,10.0,22.0,0.4764705882352941,0.2352941176470588
62,102.0,34.0,86.0,39.5,10.0,28.0,35.7,24.0,27.0,88.9,7.0,38.0,45.0,19.0,5.0,2.0,13.0,23.0,0.4534883720930232,0.313953488372093
63,115.0,42.0,91.0,46.2,11.0,36.0,30.6,20.0,24.0,83.3,18.0,27.0,45.0,24.0,10.0,5.0,12.0,23.0,0.521978021978022,0.2637362637362637
64,109.0,36.0,77.0,46.8,17.0,40.0,42.5,20.0,25.0,80.0,10.0,31.0,41.0,17.0,5.0,2.0,17.0,21.0,0.577922077922078,0.3246753246753247
65,123.0,39.0,88.0,44.3,18.5,45.0,42.6,25.0,31.0,80.6,10.0,43.0,53.0,22.0,6.0,4.0,11.0,24.0,0.5568181818181818,0.3522727272727273
66,121.0,41.0,81.0,50.6,12.0,29.0,41.4,27.0,31.0,87.1,7.0,27.0,34.0,22.0,12.0,7.0,12.0,22.0,0.5802469135802469,0.382716049382716
67,94.0,30.0,76.0,39.5,10.0,35.0,28.6,24.0,26.0,92.3,9.0,43.0,52.0,22.0,5.0,4.0,19.0,18.0,0.4605263157894737,0.34210526315789475
68,113.0,41.0,79.0,51.9,11.0,29.0,37.9,20.0,27.0,74.1,9.0,31.0,40.0,20.0,6.0,5.0,18.0,24.0,0.5886075949367089,0.34177215189873417
69,89.0,33.0,90.0,36.7,10.0,37.0,27.0,13.0,15.0,86.7,9.0,27.0,36.0,20.0,10.0,4.0,10.0,22.0,0.4222222222222222,0.16666666666666666
70,112.0,47.0,87.0,54.0,13.0,31.0,41.9,5.0,8.0,62.5,3.0,48.0,51.0,25.0,5.0,10.5,11.0,21.0,0.6149425287356322,0.09195402298850576
71,104.0,38.0,75.0,50.7,7.0,22.0,31.8,21.0,27.0,77.8,8.0,30.0,38.0,24.0,7.0,3.0,20.0,24.0,0.5533333333333333,0.36
72,100.0,31.0,74.0,41.9,14.0,45.0,29.8,24.0,29.0,82.8,3.0,23.0,26.0,14.0,14.0,3.0,14.0,21.0,0.5135135135135135,0.3918918918918919
73,90.0,31.0,89.0,34.8,13.0,39.0,33.3,15.0,24.0,62.5,7.0,37.0,44.0,19.0,6.0,2.0,10.0,11.0,0.4213483146067416,0.2696629213483146
74,90.0,35.0,88.0,39.8,2.0,20.0,10.0,18.0,23.0,78.3,13.0,40.0,53.0,21.0,3.0,8.0,6.0,19.0,0.4090909090909091,0.26136363636363635
75,95.0,35.0,89.0,39.3,11.0,32.0,34.4,14.0,21.0,66.7,13.0,34.0,47.0,23.0,5.0,2.0,14.0,21.0,0.4550561797752809,0.2359550561797753
76,86.0,31.0,85.0,36.5,6.0,23.0,26.1,18.0,20.0,90.0,8.0,37.0,45.0,19.0,3.0,5.0,6.0,20.0,0.4,0.2352941176470588
77,108.0,41.0,79.0,51.9,9.0,27.0,33.3,17.0,24.0,70.8,2.0,38.0,40.0,21.0,3.0,6.0,10.0,24.0,0.5759493670886076,0.3037974683544304
78,129.0,47.0,89.0,52.8,10.0,30.0,33.3,25.0,31.0,80.6,7.0,39.0,46.0,32.0,6.0,9.0,10.0,24.0,0.5842696629213483,0.34831460674157305
79,110.0,38.0,96.0,39.6,11.0,32.0,34.4,23.0,28.0,82.1,16.0,33.0,49.0,22.0,7.0,5.0,14.0,26.0,0.453125,0.2916666666666667
80,103.0,44.0,96.0,45.8,6.0,24.0,25.0,9.0,12.0,75.0,12.0,25.0,37.0,26.0,5.0,3.0,7.0,18.0,0.4895833333333333,0.125
81,120.0,48.0,84.0,57.1,10.0,24.0,41.7,14.0,17.0,82.4,10.0,31.0,41.0,25.0,3.0,7.0,7.0,17.0,0.6309523809523809,0.2023809523809524
82,121.0,43.0,96.0,44.8,15.0,39.0,38.5,20.0,22.0,90.9,15.0,24.0,39.0,31.0,7.0,3.0,8.0,23.0,0.5260416666666666,0.22916666666666666
83,100.0,36.0,81.0,44.4,13.0,37.0,35.1,15.0,22.0,68.2,9.0,37.0,46.0,17.0,12.0,10.5,17.0,21.0,0.5246913580246914,0.2716049382716049
84,129.0,46.0,85.0,54.1,13.0,34.0,38.2,24.0,26.0,92.3,9.0,33.0,42.0,29.0,3.0,1.0,10.0,23.0,0.6176470588235294,0.3058823529411765
85,93.0,35.0,94.0,37.2,9.0,38.0,23.7,14.0,19.0,73.7,14.0,33.0,47.0,26.0,8.0,4.0,15.0,22.0,0.4202127659574468,0.20212765957446807
86,100.0,36.0,93.0,38.7,9.0,31.0,29.0,19.0,25.0,76.0,9.0,32.0,41.0,26.0,10.0,4.0,14.0,13.0,0.4354838709677419,0.26881720430107525
87,108.0,39.0,78.0,50.0,14.0,33.0,42.4,16.0,20.0,80.0,7.0,42.0,49.0,25.0,4.0,6.0,13.0,21.0,0.5897435897435898,0.2564102564102564
88,115.0,47.0,86.0,54.7,12.0,27.0,44.4,9.0,15.0,60.0,6.0,33.0,39.0,24.0,4.0,8.0,15.0,22.0,0.6162790697674418,0.1744186046511628
89,96.0,32.0,83.0,38.6,9.0,34.0,26.5,23.0,31.0,74.2,12.0,36.0,48.0,20.0,7.0,5.0,16.0,21.0,0.4397590361445783,0.3734939759036144
90,122.0,51.0,100.0,51.0,14.0,33.0,42.4,6.0,9.0,66.7,11.0,45.0,56.0,35.0,10.0,3.0,19.0,21.0,0.58,0.09
91,118.0,45.0,96.0,46.9,13.0,35.0,37.1,15.0,23.0,65.2,13.0,32.0,45.0,22.0,8.0,5.0,9.0,18.0,0.5364583333333334,0.2395833333333333
92,90.0,37.0,90.0,41.1,7.0,24.0,29.2,9.0,15.0,60.0,10.0,32.0,42.0,17.0,6.0,3.0,7.0,20.0,0.45,0.16666666666666666
93,115.0,41.0,85.0,48.2,15.0,36.0,41.7,18.0,21.0,85.7,8.0,40.0,48.0,34.0,8.0,3.0,14.0,30.0,0.5705882352941176,0.24705882352941175
94,104.0,41.0,100.0,41.0,13.0,34.0,38.2,9.0,12.0,75.0,10.0,26.0,36.0,26.0,8.0,1.0,10.0,31.0,0.475,0.12
95,91.0,28.0,79.0,35.4,17.0,45.0,37.0,18.0,24.0,75.0,9.0,26.0,35.0,14.0,9.0,4.0,15.0,23.0,0.4620253164556962,0.3037974683544304
96,127.0,43.0,79.0,54.4,10.0,28.0,35.7,31.0,41.0,75.6,10.0,44.0,54.0,27.0,6.0,10.0,17.0,21.0,0.6075949367088608,0.5189873417721519
97,107.0,37.0,86.0,43.0,11.0,35.0,31.4,22.0,26.0,84.6,16.0,36.0,52.0,24.0,7.0,7.0,14.0,19.0,0.4941860465116279,0.3023255813953488
98,110.0,36.0,78.0,46.2,11.0,28.0,39.3,27.0,34.0,79.4,7.0,36.0,43.0,18.0,7.0,1.0,16.0,23.0,0.532051282051282,0.4358974358974359
99,113.0,42.0,89.0,47.2,12.0,31.0,38.7,17.0,19.0,89.5,11.0,38.0,49.0,27.0,5.0,2.0,13.0,27.0,0.5393258426966292,0.21348314606741567
100,106.0,36.0,88.0,40.9,10.0,28.0,35.7,24.0,28.0,85.7,11.0,32.0,43.0,18.0,5.0,2.0,12.0,25.0,0.4659090909090909,0.3181818181818182
101,105.0,34.0,80.0,42.5,13.0,31.0,41.9,24.0,32.0,75.0,4.0,29.0,33.0,22.0,8.0,4.0,10.0,21.0,0.50625,0.4
102,98.0,33.0,88.0,37.5,15.0,40.0,37.5,17.0,22.0,77.3,6.0,38.0,44.0,23.0,7.0,4.0,14.0,22.0,0.4602272727272727,0.25
103,85.0,34.0,81.0,42.0,7.0,33.0,21.2,10.0,13.0,76.9,7.0,27.0,34.0,20.0,7.0,2.0,17.0,19.0,0.462962962962963,0.16049382716049382
104,111.0,37.0,90.0,41.1,15.0,35.0,42.9,22.0,23.0,95.7,8.0,41.0,49.0,16.0,10.0,8.0,12.0,22.0,0.4944444444444445,0.25555555555555554
105,107.0,40.0,75.0,53.3,11.0,28.0,39.3,16.0,18.0,88.9,7.0,38.0,45.0,23.0,11.0,6.0,14.0,20.0,0.6066666666666667,0.24
106,108.0,36.0,90.0,40.0,12.0,38.0,31.6,24.0,31.0,77.4,12.0,29.0,41.0,23.0,10.0,4.0,14.0,26.0,0.4666666666666667,0.34444444444444444
107,117.0,40.0,89.0,44.9,15.0,31.0,48.4,22.0,24.0,91.7,11.0,34.0,45.0,25.0,4.0,2.0,7.0,22.0,0.5337078651685393,0.2696629213483146
108,103.0,37.0,96.0,38.5,11.0,36.0,30.6,18.0,24.0,75.0,15.0,29.0,44.0,21.0,9.0,6.0,9.0,24.0,0.4427083333333333,0.25
109,104.0,33.0,86.0,38.4,15.0,45.0,33.3,23.0,34.0,67.6,9.0,43.0,52.0,19.0,11.0,4.0,13.0,25.0,0.4709302325581395,0.3953488372093023
110,119.0,42.0,86.0,48.8,14.0,38.0,36.8,21.0,24.0,87.5,13.0,38.0,51.0,24.0,5.0,6.0,15.0,22.0,0.5697674418604651,0.2790697674418605
111,112.0,44.0,88.0,50.0,8.0,26.0,30.8,16.0,21.0,76.2,12.0,44.0,56.0,25.0,6.0,8.0,19.0,24.0,0.5454545454545454,0.23863636363636365
112,103.0,37.0,79.0,46.8,5.0,17.0,29.4,24.0,32.0,75.0,11.0,35.0,46.0,23.0,4.0,4.0,9.0,22.0,0.5,0.4050632911392405
113,101.0,32.0,77.0,41.6,12.0,41.0,29.3,25.0,38.0,65.8,7.0,41.0,48.0,21.0,9.0,10.5,14.0,22.0,0.4935064935064935,0.4935064935064935
114,104.0,38.0,81.0,46.9,15.0,34.0,44.1,13.0,22.0,59.1,9.0,36.0,45.0,23.0,4.0,4.0,13.0,19.0,0.5617283950617284,0.2716049382716049
115,96.0,34.0,81.0,42.0,11.0,30.0,36.7,17.0,23.0,73.9,8.0,32.0,40.0,20.0,9.0,4.0,9.0,19.0,0.4876543209876543,0.2839506172839506
116,120.0,37.0,77.0,48.1,15.0,29.0,51.7,31.0,39.0,79.5,8.0,29.0,37.0,27.0,6.0,5.0,15.0,24.0,0.577922077922078,0.5064935064935064
117,93.0,29.0,80.0,36.3,13.0,44.0,29.5,22.0,23.0,95.7,7.0,35.0,42.0,19.0,8.0,5.0,16.0,17.0,0.44375,0.2875
118,108.0,39.0,83.0,47.0,12.0,31.0,38.7,18.0,24.0,75.0,12.0,29.0,41.0,18.0,5.0,1.0,18.0,32.0,0.5421686746987951,0.2891566265060241
119,98.0,39.0,87.0,44.8,11.0,28.0,39.3,9.0,10.0,90.0,8.0,35.0,43.0,26.0,9.0,3.0,13.0,23.0,0.5114942528735632,0.11494252873563217
120,115.0,39.0,96.0,40.6,8.0,39.0,20.5,29.0,35.0,82.9,13.0,30.0,43.0,12.0,6.0,2.0,15.0,24.0,0.4479166666666667,0.3645833333333333
121,108.0,42.0,81.0,51.9,15.0,29.0,51.7,9.0,17.0,52.9,10.0,27.0,37.0,31.0,3.0,1.0,13.0,21.0,0.6111111111111112,0.20987654320987653
122,132.0,51.0,93.0,54.8,15.0,35.0,42.9,15.0,18.0,83.3,10.0,40.0,50.0,35.0,4.0,10.5,12.0,28.0,0.6290322580645161,0.1935483870967742
123,105.0,35.0,94.0,37.2,7.0,32.0,21.9,28.0,34.0,82.4,16.0,27.0,43.0,21.0,6.0,2.0,12.0,25.0,0.4095744680851064,0.3617021276595745
124,131.0,45.0,94.0,47.9,11.0,27.0,40.7,30.0,35.0,85.7,15.0,39.0,54.0,26.0,9.0,5.0,16.0,29.0,0.5372340425531915,0.3723404255319149
125,118.0,44.0,89.0,49.4,7.0,18.0,38.9,23.0,32.0,71.9,15.0,30.0,45.0,24.0,9.0,2.0,6.0,20.0,0.5337078651685393,0.3595505617977528
126,99.0,40.0,84.0,47.6,11.0,28.0,39.3,8.0,9.0,88.9,7.0,41.0,48.0,22.0,3.0,5.0,14.0,16.0,0.5416666666666666,0.10714285714285714
127,99.0,37.0,99.0,37.4,12.0,36.0,33.3,13.0,17.0,76.5,11.0,32.0,43.0,23.0,5.0,7.0,8.0,21.0,0.4343434343434344,0.1717171717171717
128,118.0,38.0,80.0,47.5,17.0,42.0,40.5,25.0,30.0,83.3,8.0,38.0,46.0,17.0,8.0,9.0,18.0,18.0,0.58125,0.375
129,91.0,36.0,81.0,44.4,13.0,34.0,38.2,6.0,10.0,60.0,4.0,32.0,36.0,23.0,11.0,3.0,11.0,16.0,0.5246913580246914,0.12345679012345677
130,120.0,47.0,90.0,52.2,11.0,26.0,42.3,15.0,21.0,71.4,8.0,46.0,54.0,32.0,5.0,10.5,12.0,21.0,0.5833333333333334,0.2333333333333333
131,98.0,39.0,98.0,39.8,8.0,38.0,21.1,12.0,18.0,66.7,15.0,33.0,48.0,27.0,16.0,3.0,12.0,26.0,0.4387755102040816,0.1836734693877551
132,114.0,43.0,89.0,48.3,10.0,24.0,41.7,18.0,26.0,69.2,7.0,34.0,41.0,29.0,5.0,2.0,5.0,21.0,0.5393258426966292,0.2921348314606741
133,94.0,35.0,86.0,40.7,5.0,28.0,17.9,19.0,28.0,67.9,13.0,34.0,47.0,21.0,6.0,6.0,16.0,27.0,0.43604651162790703,0.32558139534883723
