,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,Target
53,0.774,0.4666666666666667,0.4222222222222222,0.34444444444444444,0.42268041237113396,0.045454545454545456,1.6428571428571428,0
54,0.75,0.4427083333333333,0.375,0.25,0.4631578947368421,0.06976744186046513,2.333333333333333,0
55,0.75,0.5,0.21518987341772156,0.4050632911392405,0.5054945054945055,0.0449438202247191,2.555555555555556,0
56,0.6579999999999999,0.4935064935064935,0.5324675324675324,0.4935064935064935,0.48,0.12790697674418605,1.5,0
57,0.7390000000000001,0.4876543209876543,0.3703703703703704,0.2839506172839506,0.4705882352941176,0.04938271604938271,2.2222222222222223,0
58,0.795,0.577922077922078,0.37662337662337664,0.5064935064935064,0.4743589743589744,0.060240963855421686,1.8,1
59,0.9570000000000001,0.44375,0.55,0.2875,0.4941176470588236,0.057471264367816084,1.1875,0
60,0.8290000000000001,0.4479166666666667,0.40625,0.3645833333333333,0.4432989690721649,0.02127659574468085,0.8,0
61,0.8240000000000001,0.4095744680851064,0.3404255319148936,0.3617021276595745,0.4623655913978494,0.021505376344086027,1.75,0
62,0.7190000000000001,0.5337078651685393,0.20224719101123595,0.3595505617977528,0.5487804878048781,0.02469135802469136,4.0,1
63,0.889,0.5416666666666666,0.3333333333333333,0.10714285714285714,0.5714285714285714,0.061728395061728385,1.5714285714285714,1
64,0.833,0.58125,0.525,0.375,0.4893617021276596,0.09183673469387756,0.9444444444444444,1
65,0.7140000000000001,0.5833333333333334,0.2888888888888889,0.2333333333333333,0.5567010309278351,0.1111111111111111,2.6666666666666665,1
66,0.6920000000000001,0.5393258426966292,0.2696629213483146,0.2921348314606741,0.4505494505494506,0.02325581395348837,5.8,1
67,0.81,0.5388888888888889,0.3555555555555556,0.2333333333333333,0.4835164835164835,0.06976744186046513,1.4166666666666667,1
68,0.941,0.5459770114942529,0.4022988505747127,0.19540229885057472,0.4827586206896552,0.061728395061728385,3.571428571428572,1
69,0.889,0.6066666666666667,0.37333333333333335,0.6,0.5277777777777778,0.07058823529411765,1.4090909090909092,0
70,0.813,0.6071428571428571,0.2346938775510204,0.32653061224489793,0.6049382716049383,0.03333333333333333,2.4166666666666665,1
