,H_FTPct,H_EFGPct,H_ThreePARt,H_FTR,H_REBPct,H_BLKPct,H_AST_TOV_Ratio,A_FTPct,A_EFGPct,A_ThreePARt,A_FTR,A_REBPct,A_BLKPct,A_AST_TOV_Ratio,Target
18,72.2,0.5352941176470588,0.43529411764705883,0.21176470588235294,0.5185185185185185,0.012658227848101266,1.8666666666666667,87.5,0.4936708860759494,0.5189873417721519,0.3037974683544304,0.48148148148148145,0.03529411764705882,1.2666666666666666,5
19,77.3,0.526595744680851,0.5,0.2340425531914893,0.5471698113207547,0.07526881720430108,1.6875,76.5,0.3494623655913979,0.41935483870967744,0.3655913978494624,0.4528301886792453,0.010638297872340425,1.3571428571428572,25
20,90.3,0.5393258426966292,0.2696629213483146,0.34831460674157305,0.5904761904761905,0.04081632653061224,3.25,53.3,0.4183673469387755,0.37755102040816324,0.30612244897959184,0.4095238095238095,0.056179775280898875,3.1666666666666665,26
21,87.9,0.5853658536585366,0.4878048780487805,0.4024390243902439,0.5316455696202531,0.02531645569620253,2.2,85.0,0.4556962025316456,0.3037974683544304,0.2531645569620253,0.46835443037974683,0.06097560975609756,1.0,36
22,80.0,0.42777777777777776,0.45555555555555555,0.3333333333333333,0.4766355140186916,0.05,2.5,68.0,0.48,0.37,0.25,0.5233644859813084,0.05555555555555555,3.5714285714285716,-12
23,70.8,0.5337078651685393,0.5617977528089888,0.2696629213483146,0.5376344086021505,0.06666666666666667,1.3846153846153846,69.6,0.5111111111111111,0.36666666666666664,0.25555555555555554,0.46236559139784944,0.02247191011235955,2.1818181818181817,4
24,72.0,0.47560975609756106,0.4634146341463415,0.3048780487804878,0.5,0.07894736842105263,1.8333333333333333,80.8,0.5263157894736842,0.40789473684210525,0.34210526315789475,0.5,0.036585365853658534,1.4615384615384615,-5
25,78.6,0.5487804878048781,0.34146341463414637,0.3414634146341464,0.48863636363636365,0.05434782608695652,1.2857142857142858,89.3,0.4945652173913043,0.2717391304347826,0.3043478260869565,0.5113636363636364,0.04878048780487805,2.625,-4
26,69.2,0.5806451612903226,0.45161290322580644,0.27956989247311825,0.6111111111111112,0.06315789473684211,1.5384615384615385,79.3,0.5157894736842106,0.3473684210526316,0.30526315789473685,0.3888888888888889,0.06451612903225806,3.375,5
27,93.8,0.5308641975308642,0.49382716049382713,0.3950617283950617,0.5,0.03614457831325301,1.411764705882353,66.7,0.5963855421686747,0.4457831325301205,0.43373493975903615,0.5,0.08641975308641975,1.5333333333333334,-7
28,85.7,0.4677419354838709,0.3387096774193548,0.2258064516129032,0.484375,0.04201680672268908,1.7692307692307692,70.0,0.5168067226890757,0.35294117647058826,0.16806722689075632,0.515625,0.06451612903225806,1.4,3
