TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,,,,,,,,,,
TOR,5/2/19,TOR @ PHI,L,240,95,35,83,42.2,7,27,25.9,18,23,78.3,8,27,35,15,7,4,9,17,-21,,,,,,,,,,
DEN,5/1/19,DEN vs. POR,L,239,90,34,98,34.7,6,29,20.7,16,26,61.5,23,35,58,20,6,5,9,19,-7,,,,,,,,,,
POR,5/1/19,POR @ DEN,W,241,97,36,85,42.4,9,29,31,16,20,80,7,40,47,18,5,6,10,22,7,,,,,,,,,,
BOS,4/30/19,BOS @ MIL,L,241,102,34,86,39.5,10,28,35.7,24,27,88.9,7,38,45,19,5,2,13,23,-21,,,,,,,,,,
GSW,4/30/19,GSW vs. HOU,W,239,115,42,91,46.2,11,36,30.6,20,24,83.3,18,27,45,24,10,5,12,23,6,,,,,,,,,,
HOU,4/30/19,HOU @ GSW,L,238,109,36,77,46.8,17,40,42.5,20,25,80,10,31,41,17,5,2,17,21,-6,,,,,,,,,,
MIL,4/30/19,MIL vs. BOS,W,240,123,39,88,44.3,20,47,42.6,25,31,80.6,10,43,53,22,6,4,11,24,21,,,,,,,,,,
DEN,4/29/19,DEN vs. POR,W,240,121,41,81,50.6,12,29,41.4,27,31,87.1,7,27,34,22,12,7,12,22,8,,,,,,,,,,
PHI,4/29/19,PHI @ TOR,W,240,94,30,76,39.5,10,35,28.6,24,26,92.3,9,43,52,22,5,4,19,18,5,,,,,,,,,,
POR,4/29/19,POR @ DEN,L,239,113,41,79,51.9,11,29,37.9,20,27,74.1,9,31,40,20,6,5,18,24,-8,,,,,,,,,,
TOR,4/29/19,TOR vs. PHI,L,240,89,33,90,36.7,10,37,27,13,15,86.7,9,27,36,20,10,4,10,22,-5,,,,,,,,,,
BOS,4/28/19,BOS @ MIL,W,241,112,47,87,54,13,31,41.9,5,8,62.5,3,48,51,25,5,11,11,21,22,,,,,,,,,,
GSW,4/28/19,GSW vs. HOU,W,239,104,38,75,50.7,7,22,31.8,21,27,77.8,8,30,38,24,7,3,20,24,4,,,,,,,,,,
HOU,4/28/19,HOU @ GSW,L,241,100,31,74,41.9,14,47,29.8,24,29,82.8,3,23,26,14,14,3,14,21,-4,,,,,,,,,,
MIL,4/28/19,MIL vs. BOS,L,238,90,31,89,34.8,13,39,33.3,15,24,62.5,7,37,44,19,6,2,10,11,-22,,,,,,,,,,
DEN,4/27/19,DEN vs. SAS,W,239,90,35,88,39.8,2,20,10,18,23,78.3,13,40,53,21,3,8,6,19,4,,,,,,,,,,
PHI,4/27/19,PHI @ TOR,L,240,95,35,89,39.3,11,32,34.4,14,21,66.7,13,34,47,23,5,2,14,21,-13,,,,,,,,,,
SAS,4/27/19,SAS @ DEN,L,240,86,31,85,36.5,6,23,26.1,18,20,90,8,37,45,19,3,5,6,20,-4,,,,,,,,,,
TOR,4/27/19,TOR vs. PHI,W,240,108,41,79,51.9,9,27,33.3,17,24,70.8,2,38,40,21,3,6,10,24,13,,,,,,,,,,
GSW,4/26/19,GSW @ LAC,W,239,129,47,89,52.8,10,30,33.3,25,31,80.6,7,39,46,32,6,9,10,24,19,,,,,,,,,,
LAC,4/26/19,LAC vs. GSW,L,240,110,38,96,39.6,11,32,34.4,23,28,82.1,16,33,49,22,7,5,14,26,-19,,,,,,,,,,
DEN,4/25/19,DEN @ SAS,L,241,103,44,96,45.8,6,24,25,9,12,75,12,25,37,26,5,3,7,18,-17,,,,,,,,,,
SAS,4/25/19,SAS vs. DEN,W,240,120,48,84,57.1,10,24,41.7,14,17,82.4,10,31,41,25,3,7,7,17,17,,,,,,,,,,
GSW,4/24/19,GSW vs. LAC,L,240,121,43,96,44.8,15,39,38.5,20,22,90.9,15,24,39,31,7,3,8,23,-8,,,,,,,,,,
HOU,4/24/19,HOU vs. UTA,W,240,100,36,81,44.4,13,37,35.1,15,22,68.2,9,37,46,17,12,12,17,21,7,,,,,,,,,,
LAC,4/24/19,LAC @ GSW,W,240,129,46,85,54.1,13,34,38.2,24,26,92.3,9,33,42,29,3,1,10,23,8,,,,,,,,,,
UTA,4/24/19,UTA @ HOU,L,240,93,35,94,37.2,9,38,23.7,14,19,73.7,14,33,47,26,8,4,15,22,-7,,,,,,,,,,
BKN,4/23/19,BKN @ PHI,L,240,100,36,93,38.7,9,31,29,19,25,76,9,32,41,26,10,4,14,13,-22,,,,,,,,,,
DEN,4/23/19,DEN vs. SAS,W,240,108,39,78,50,14,33,42.4,16,20,80,7,42,49,25,4,6,13,21,18,,,,,,,,,,
OKC,4/23/19,OKC @ POR,L,239,115,47,86,54.7,12,27,44.4,9,15,60,6,33,39,24,4,8,15,22,-9,,,,,,,,,,
ORL,4/23/19,ORL @ TOR,L,240,96,32,83,38.6,9,34,26.5,23,31,74.2,12,36,48,20,7,5,16,21,-19,,,,,,,,,,
PHI,4/23/19,PHI vs. BKN,W,240,122,51,100,51,14,33,42.4,6,9,66.7,11,45,56,35,10,3,19,21,22,,,,,,,,,,
