TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,,,,,,,,,,
UTA,1/26/17,UTA vs. LAL,W,241,96,33,81,40.7,6,26,23.1,24,28,85.7,10,34,44,13,7,6,8,10,8,,,,,,,,,,
ATL,1/25/17,ATL @ CHI,W,241,119,43,83,51.8,17,30,56.7,16,19,84.2,6,33,39,29,5,5,13,20,5,,,,,,,,,,
BKN,1/25/17,BKN vs. MIA,L,239,106,35,80,43.8,13,35,37.1,23,26,88.5,4,29,33,20,3,4,15,25,-3,,,,,,,,,,
BOS,1/25/17,BOS vs. HOU,W,240,120,47,91,51.6,11,32,34.4,15,16,93.8,12,36,48,33,10,3,18,27,11,,,,,,,,,,
CHA,1/25/17,CHA vs. GSW,L,240,103,38,92,41.3,7,23,30.4,20,21,95.2,12,31,43,26,6,6,14,18,-10,,,,,,,,,,
CHI,1/25/17,CHI vs. ATL,L,240,114,43,94,45.7,8,27,29.6,20,26,76.9,12,29,41,18,6,5,6,16,-5,,,,,,,,,,
CLE,1/25/17,CLE vs. SAC,L,265,112,40,82,48.8,15,38,39.5,17,34,50,13,34,47,29,9,6,18,21,-4,,,,,,,,,,
DAL,1/25/17,DAL vs. NYK,W,240,103,39,83,47,6,26,23.1,19,24,79.2,7,29,36,19,10,7,7,12,8,,,,,,,,,,
GSW,1/25/17,GSW @ CHA,W,238,113,39,82,47.6,11,28,39.3,24,27,88.9,5,36,41,23,7,14,12,19,10,,,,,,,,,,
HOU,1/25/17,HOU @ BOS,L,240,109,36,77,46.8,10,31,32.3,27,38,71.1,6,24,30,28,8,5,17,18,-11,,,,,,,,,,
LAL,1/25/17,LAL @ POR,L,239,98,37,94,39.4,11,30,36.7,13,14,92.9,14,37,51,16,5,9,13,17,-7,,,,,,,,,,
MEM,1/25/17,MEM vs. TOR,W,239,101,36,78,46.2,10,22,45.5,19,25,76,9,36,45,18,3,7,9,17,2,,,,,,,,,,
MIA,1/25/17,MIA @ BKN,W,240,109,40,83,48.2,11,23,47.8,18,25,72,6,34,40,23,7,6,10,25,3,,,,,,,,,,
MIL,1/25/17,MIL vs. PHI,L,240,109,42,91,46.2,7,28,25,18,23,78.3,15,22,37,26,11,4,19,22,-5,,,,,,,,,,
NOP,1/25/17,NOP vs. OKC,L,240,105,41,96,42.7,11,27,40.7,12,19,63.2,9,37,46,23,7,9,12,23,-9,,,,,,,,,,
NYK,1/25/17,NYK @ DAL,L,240,95,39,92,42.4,7,23,30.4,10,12,83.3,18,37,55,17,4,2,18,21,-8,,,,,,,,,,
OKC,1/25/17,OKC @ NOP,W,240,114,42,91,46.2,10,27,37,20,28,71.4,12,43,55,24,6,11,16,18,9,,,,,,,,,,
PHI,1/25/17,PHI @ MIL,W,240,114,40,75,53.3,12,26,46.2,22,25,88,9,34,43,32,9,4,21,21,5,,,,,,,,,,
POR,1/25/17,POR vs. LAL,W,240,105,43,90,47.8,4,15,26.7,15,20,75,9,40,49,17,5,4,11,12,7,,,,,,,,,,
SAC,1/25/17,SAC @ CLE,W,264,116,43,95,45.3,11,31,35.5,19,22,86.4,11,36,47,29,13,3,11,28,4,,,,,,,,,,
TOR,1/25/17,TOR @ MEM,L,241,99,39,92,42.4,10,34,29.4,11,19,57.9,13,32,45,16,6,4,8,22,-2,,,,,,,,,,
BOS,1/24/17,BOS @ WAS,L,240,108,38,84,45.2,10,33,30.3,22,24,91.7,8,24,32,24,10,3,13,20,-15,,,,,,,,,,
CHI,1/24/17,CHI @ ORL,W,241,100,35,77,45.5,7,22,31.8,23,30,76.7,6,38,44,12,13,6,13,19,8,,,,,,,,,,
DEN,1/24/17,DEN vs. UTA,W,241,103,35,76,46.1,10,26,38.5,23,31,74.2,7,36,43,28,7,6,14,15,10,,,,,,,,,,
LAC,1/24/17,LAC @ PHI,L,239,110,33,71,46.5,18,34,52.9,26,41,63.4,11,35,46,17,4,1,17,22,-11,,,,,,,,,,
MIN,1/24/17,MIN @ PHX,W,242,112,44,84,52.4,6,17,35.3,18,24,75,10,32,42,24,8,4,15,21,1,,,,,,,,,,
ORL,1/24/17,ORL vs. CHI,L,241,92,35,85,41.2,7,22,31.8,15,20,75,12,36,48,18,7,2,19,18,-8,,,,,,,,,,
PHI,1/24/17,PHI vs. LAC,W,239,121,45,90,50,10,29,34.5,21,22,95.5,6,32,38,35,8,7,5,27,11,,,,,,,,,,
PHX,1/24/17,PHX vs. MIN,L,239,111,38,86,44.2,7,19,36.8,28,32,87.5,13,31,44,20,7,4,15,23,-1,,,,,,,,,,
SAS,1/24/17,SAS @ TOR,W,241,108,38,85,44.7,7,24,29.2,25,33,75.8,6,30,36,20,7,6,12,18,2,,,,,,,,,,
TOR,1/24/17,TOR vs. SAS,L,240,106,38,84,45.2,6,25,24,24,28,85.7,10,35,45,10,9,8,13,25,-2,,,,,,,,,,
UTA,1/24/17,UTA @ DEN,L,241,93,35,85,41.2,7,22,31.8,16,21,76.2,8,32,40,19,6,3,11,21,-10,,,,,,,,,,
WAS,1/24/17,WAS vs. BOS,W,240,123,48,84,57.1,9,20,45,18,21,85.7,8,35,43,21,7,4,15,18,15,,,,,,,,,,
ATL,1/23/17,ATL vs. LAC,L,239,105,37,88,42,9,29,31,22,26,84.6,8,32,40,28,8,2,8,17,-10,,,,,,,,,,
BKN,1/23/17,BKN vs. SAS,L,242,86,32,81,39.5,5,25,20,17,18,94.4,5,33,38,14,2,5,16,18,-26,,,,,,,,,,
CHA,1/23/17,CHA vs. WAS,L,240,99,35,90,38.9,8,32,25,21,25,84,12,31,43,24,7,5,8,19,-10,,,,,,,,,,
CLE,1/23/17,CLE @ NOP,L,241,122,43,93,46.2,15,37,40.5,21,25,84,11,34,45,24,6,3,11,20,-2,,,,,,,,,,
DET,1/23/17,DET vs. SAC,L,241,104,41,82,50,10,28,35.7,12,17,70.6,6,32,38,27,8,1,15,21,-5,,,,,,,,,,
GSW,1/23/17,GSW @ MIA,L,241,102,41,88,46.6,8,30,26.7,12,20,60,7,36,43,27,9,4,14,20,-3,,,,,,,,,,
HOU,1/23/17,HOU @ MIL,L,241,114,39,77,50.6,14,35,40,22,28,78.6,5,23,28,26,11,4,21,22,-13,,,,,,,,,,
IND,1/23/17,IND vs. NYK,L,240,103,38,86,44.2,7,26,26.9,20,25,80,7,30,37,18,7,4,11,20,-6,,,,,,,,,,
LAC,1/23/17,LAC @ ATL,W,241,115,42,84,50,14,24,58.3,17,22,77.3,10,36,46,23,4,8,11,19,10,,,,,,,,,,
MIA,1/23/17,MIA vs. GSW,W,241,105,38,86,44.2,13,30,43.3,16,27,59.3,11,34,45,20,9,4,13,19,3,,,,,,,,,,
MIL,1/23/17,MIL vs. HOU,W,240,127,47,80,58.8,11,23,47.8,22,27,81.5,7,30,37,31,17,6,19,20,13,,,,,,,,,,
NOP,1/23/17,NOP vs. CLE,W,241,124,43,87,49.4,16,39,41,22,30,73.3,7,35,42,26,8,11,8,22,2,,,,,,,,,,
NYK,1/23/17,NYK @ IND,W,240,109,35,76,46.1,8,22,36.4,31,35,88.6,6,37,43,19,8,7,14,21,6,,,,,,,,,,
OKC,1/23/17,OKC @ UTA,W,238,97,36,83,43.4,6,20,30,19,25,76,8,37,45,17,6,6,10,23,2,,,,,,,,,,
SAC,1/23/17,SAC @ DET,W,240,109,40,82,48.8,9,21,42.9,20,26,76.9,10,33,43,25,10,3,14,15,5,,,,,,,,,,
SAS,1/23/17,SAS @ BKN,W,240,112,45,95,47.4,9,22,40.9,13,16,81.3,13,37,50,22,7,5,8,17,26,,,,,,,,,,
UTA,1/23/17,UTA vs. OKC,L,241,95,36,84,42.9,5,21,23.8,18,26,69.2,8,34,42,16,10,7,10,18,-2,,,,,,,,,,
WAS,1/23/17,WAS @ CHA,W,242,109,43,80,53.8,10,25,40,13,17,76.5,5,42,47,22,5,3,14,23,10,,,,,,,,,,
DAL,1/22/17,DAL vs. LAL,W,240,122,43,87,49.4,17,39,43.6,19,19,100,13,36,49,27,9,4,10,15,49,,,,,,,,,,
DEN,1/22/17,DEN @ MIN,L,240,108,42,82,51.2,7,24,29.2,17,21,81,12,29,41,26,6,7,17,19,-3,,,,,,,,,,
GSW,1/22/17,GSW @ ORL,W,239,118,42,89,47.2,19,42,45.2,15,19,78.9,13,39,52,27,8,4,18,15,20,,,,,,,,,,
LAL,1/22/17,LAL @ DAL,L,241,73,28,73,38.4,3,21,14.3,14,17,82.4,5,27,32,11,3,4,17,20,-49,,,,,,,,,,
MIN,1/22/17,MIN vs. DEN,W,240,111,45,85,52.9,6,15,40,15,21,71.4,8,28,36,29,11,8,14,24,3,,,,,,,,,,
ORL,1/22/17,ORL vs. GSW,L,239,98,42,96,43.8,7,28,25,7,16,43.8,12,29,41,25,9,7,12,21,-20,,,,,,,,,,
PHX,1/22/17,PHX @ TOR,W,239,115,40,79,50.6,9,22,40.9,26,28,92.9,7,38,45,20,6,1,15,28,12,,,,,,,,,,
TOR,1/22/17,TOR vs. PHX,L,240,103,33,83,39.8,7,27,25.9,30,35,85.7,7,28,35,19,9,8,9,20,-12,,,,,,,,,,
ATL,1/21/17,ATL vs. PHI,W,241,110,45,91,49.5,7,20,35,13,23,56.5,11,36,47,24,8,5,13,18,17,,,,,,,,,,
BKN,1/21/17,BKN @ CHA,L,239,105,38,88,43.2,17,41,41.5,12,15,80,4,36,40,30,9,3,12,17,-7,,,,,,,,,,
BOS,1/21/17,BOS vs. POR,L,265,123,42,92,45.7,13,35,37.1,26,31,83.9,14,33,47,26,6,2,21,29,-4,,,,,,,,,,
CHA,1/21/17,CHA vs. BKN,W,240,112,39,82,47.6,14,30,46.7,20,22,90.9,6,40,46,26,7,4,13,18,7,,,,,,,,,,
CHI,1/21/17,CHI vs. SAC,W,239,102,34,83,41,6,17,35.3,28,33,84.8,14,34,48,22,7,7,11,18,3,,,,,,,,,,
CLE,1/21/17,CLE vs. SAS,L,266,115,45,91,49.5,13,34,38.2,12,22,54.5,11,36,47,25,7,1,18,16,-3,,,,,,,,,,
DEN,1/21/17,DEN vs. LAC,W,240,123,46,87,52.9,10,24,41.7,21,26,80.8,10,35,45,30,4,0,10,16,25,,,,,,,,,,
DET,1/21/17,DET vs. WAS,W,241,113,43,87,49.4,11,28,39.3,16,22,72.7,13,36,49,25,9,4,20,27,1,,,,,,,,,,
HOU,1/21/17,HOU @ MEM,W,240,119,41,80,51.3,16,42,38.1,21,25,84,6,40,46,27,11,6,12,25,24,,,,,,,,,,
IND,1/21/17,IND @ UTA,L,242,100,39,77,50.6,10,20,50,12,17,70.6,4,32,36,17,10,3,16,23,-9,,,,,,,,,,
LAC,1/21/17,LAC @ DEN,L,241,98,40,96,41.7,10,32,31.3,8,8,100,10,25,35,23,5,2,7,23,-25,,,,,,,,,,
MEM,1/21/17,MEM vs. HOU,L,242,95,33,89,37.1,9,34,26.5,20,28,71.4,14,27,41,19,10,4,12,17,-24,,,,,,,,,,
MIA,1/21/17,MIA vs. MIL,W,238,109,41,77,53.2,13,30,43.3,14,22,63.6,5,34,39,18,8,3,11,24,12,,,,,,,,,,
MIL,1/21/17,MIL @ MIA,L,239,97,33,79,41.8,6,18,33.3,25,32,78.1,12,29,41,17,6,2,11,18,-12,,,,,,,,,,
NYK,1/21/17,NYK vs. PHX,L,239,105,40,89,44.9,11,21,52.4,14,16,87.5,15,31,46,20,6,3,12,20,-2,,,,,,,,,,
PHI,1/21/17,PHI @ ATL,L,239,93,33,78,42.3,12,29,41.4,15,18,83.3,7,32,39,27,8,6,22,19,-17,,,,,,,,,,
PHX,1/21/17,PHX @ NYK,W,240,107,37,85,43.5,9,24,37.5,24,27,88.9,14,30,44,15,9,4,13,18,2,,,,,,,,,,
POR,1/21/17,POR @ BOS,W,265,127,43,92,46.7,10,25,40,31,36,86.1,9,28,37,26,12,4,14,26,4,,,,,,,,,,
SAC,1/21/17,SAC @ CHI,L,240,99,37,84,44,9,26,34.6,16,21,76.2,9,31,40,20,7,5,9,23,-3,,,,,,,,,,
SAS,1/21/17,SAS @ CLE,W,265,118,48,96,50,10,26,38.5,12,14,85.7,10,36,46,32,6,6,13,22,3,,,,,,,,,,
UTA,1/21/17,UTA vs. IND,W,239,109,39,84,46.4,6,24,25,25,32,78.1,10,32,42,24,11,3,14,15,9,,,,,,,,,,
WAS,1/21/17,WAS @ DET,L,240,112,39,91,42.9,8,26,30.8,26,33,78.8,13,34,47,23,12,3,11,22,-1,,,,,,,,,,
ATL,1/20/17,ATL vs. CHI,W,241,102,39,82,47.6,9,22,40.9,15,19,78.9,10,30,40,23,16,3,19,19,9,,,,,,,,,,
BKN,1/20/17,BKN @ NOP,W,240,143,48,83,57.8,15,30,50,32,35,91.4,9,43,52,24,5,6,16,20,29,,,,,,,,,,
CHA,1/20/17,CHA vs. TOR,W,239,113,40,80,50,12,25,48,21,25,84,11,40,51,24,9,4,14,13,35,,,,,,,,,,
CHI,1/20/17,CHI @ ATL,L,240,93,34,81,42,7,28,25,18,19,94.7,12,29,41,18,12,5,24,17,-9,,,,,,,,,,
DAL,1/20/17,DAL vs. UTA,L,265,107,39,87,44.8,8,23,34.8,21,28,75,9,34,43,21,4,2,12,26,-5,,,,,,,,,,
GSW,1/20/17,GSW @ HOU,W,238,125,47,89,52.8,15,38,39.5,16,21,76.2,8,33,41,30,8,7,14,18,17,,,,,,,,,,
HOU,1/20/17,HOU vs. GSW,L,239,108,43,96,44.8,7,35,20,15,18,83.3,13,28,41,26,8,3,14,17,-17,,,,,,,,,,
IND,1/20/17,IND @ LAL,L,240,95,34,80,42.5,9,23,39.1,18,25,72,8,29,37,24,17,6,20,12,-13,,,,,,,,,,
LAL,1/20/17,LAL vs. IND,W,240,108,41,87,47.1,14,33,42.4,12,15,80,16,35,51,27,15,3,23,20,13,,,,,,,,,,
MEM,1/20/17,MEM vs. SAC,W,240,107,38,83,45.8,11,28,39.3,20,25,80,15,43,58,21,6,4,15,24,16,,,,,,,,,,
MIL,1/20/17,MIL @ ORL,L,241,96,34,83,41,10,25,40,18,26,69.2,10,30,40,21,6,3,12,25,-16,,,,,,,,,,
NOP,1/20/17,NOP vs. BKN,L,240,114,43,105,41,11,34,32.4,17,23,73.9,18,29,47,21,8,8,9,24,-29,,,,,,,,,,
ORL,1/20/17,ORL vs. MIL,W,240,112,40,87,46,8,28,28.6,24,31,77.4,14,39,53,25,9,6,9,24,16,,,,,,,,,,
PHI,1/20/17,PHI vs. POR,W,240,93,36,92,39.1,12,29,41.4,9,16,56.3,13,40,53,25,6,8,19,21,1,,,,,,,,,,
POR,1/20/17,POR @ PHI,L,239,92,33,89,37.1,6,19,31.6,20,28,71.4,12,34,46,16,8,6,13,20,-1,,,,,,,,,,
SAC,1/20/17,SAC @ MEM,L,240,91,31,76,40.8,6,29,20.7,23,32,71.9,5,30,35,18,9,6,10,21,-16,,,,,,,,,,
TOR,1/20/17,TOR @ CHA,L,240,78,29,86,33.7,7,30,23.3,13,14,92.9,8,25,33,10,7,5,12,20,-35,,,,,,,,,,
UTA,1/20/17,UTA @ DAL,W,264,112,38,83,45.8,8,23,34.8,28,39,71.8,15,38,53,17,8,5,14,26,5,,,,,,,,,,
CLE,1/19/17,CLE vs. PHX,W,241,118,43,85,50.6,19,42,45.2,13,19,68.4,4,32,36,29,7,6,12,24,15,,,,,,,,,,
DAL,1/19/17,DAL @ MIA,L,240,95,37,82,45.1,14,36,38.9,7,11,63.6,5,28,33,17,4,3,9,20,-4,,,,,,,,,,
DEN,1/19/17,DEN @ SAS,L,241,104,37,91,40.7,10,31,32.3,20,26,76.9,11,32,43,27,5,7,15,19,-14,,,,,,,,,,
LAC,1/19/17,LAC vs. MIN,L,241,101,42,87,48.3,4,22,18.2,13,24,54.2,14,27,41,24,9,6,11,21,-3,,,,,,,,,,
MIA,1/19/17,MIA vs. DAL,W,240,99,35,73,47.9,9,20,45,20,29,69,6,34,40,16,4,1,13,15,4,,,,,,,,,,
MIN,1/19/17,MIN @ LAC,W,241,104,40,84,47.6,5,16,31.3,19,25,76,13,30,43,25,3,2,13,21,3,,,,,,,,,,
NYK,1/19/17,NYK vs. WAS,L,240,110,42,90,46.7,7,24,29.2,19,22,86.4,14,27,41,20,7,4,10,14,-3,,,,,,,,,,
PHX,1/19/17,PHX @ CLE,L,240,103,37,85,43.5,4,19,21.1,25,31,80.6,15,31,46,23,10,4,14,22,-15,,,,,,,,,,
SAS,1/19/17,SAS vs. DEN,W,238,118,44,86,51.2,9,22,40.9,21,25,84,6,37,43,28,12,5,7,19,14,,,,,,,,,,
WAS,1/19/17,WAS @ NYK,W,239,113,44,88,50,13,32,40.6,12,14,85.7,10,30,40,29,7,5,15,19,3,,,,,,,,,,
ATL,1/18/17,ATL @ DET,L,241,95,30,78,38.5,6,25,24,29,37,78.4,8,24,32,22,1,4,12,21,-23,,,,,,,,,,
BOS,1/18/17,BOS vs. NYK,L,241,106,35,91,38.5,9,33,27.3,27,29,93.1,9,24,33,25,8,8,3,15,-11,,,,,,,,,,
CHA,1/18/17,CHA vs. POR,W,240,107,41,87,47.1,11,26,42.3,14,17,82.4,8,43,51,28,11,7,12,13,22,,,,,,,,,,
DET,1/18/17,DET vs. ATL,W,239,118,45,91,49.5,10,25,40,18,28,64.3,18,42,60,27,6,0,12,29,23,,,,,,,,,,
GSW,1/18/17,GSW vs. OKC,W,241,121,46,85,54.1,10,21,47.6,19,27,70.4,11,35,46,35,11,8,18,16,21,,,,,,,,,,
HOU,1/18/17,HOU vs. MIL,W,239,111,43,95,45.3,14,44,31.8,11,15,73.3,13,33,46,25,9,12,10,17,19,,,,,,,,,,
IND,1/18/17,IND @ SAC,W,240,106,39,75,52,7,21,33.3,21,25,84,8,24,32,22,11,3,14,21,6,,,,,,,,,,
MEM,1/18/17,MEM @ WAS,L,240,101,33,83,39.8,8,25,32,27,34,79.4,17,28,45,20,8,1,12,20,-3,,,,,,,,,,
MIL,1/18/17,MIL @ HOU,L,241,92,37,93,39.8,7,28,25,11,14,78.6,15,35,50,26,8,8,18,14,-19,,,,,,,,,,
NOP,1/18/17,NOP vs. ORL,W,239,118,46,93,49.5,15,36,41.7,11,15,73.3,6,39,45,28,11,5,8,13,20,,,,,,,,,,
NYK,1/18/17,NYK @ BOS,W,240,117,46,91,50.5,10,25,40,15,18,83.3,18,39,57,27,2,8,14,24,11,,,,,,,,,,
OKC,1/18/17,OKC @ GSW,L,240,100,38,90,42.2,8,28,28.6,16,19,84.2,13,23,36,23,11,6,18,22,-21,,,,,,,,,,
ORL,1/18/17,ORL @ NOP,L,241,98,39,88,44.3,11,32,34.4,9,11,81.8,4,43,47,18,6,5,18,14,-20,,,,,,,,,,
PHI,1/18/17,PHI vs. TOR,W,239,94,31,69,44.9,8,24,33.3,24,32,75,5,41,46,20,5,7,22,21,5,,,,,,,,,,
POR,1/18/17,POR @ CHA,L,240,85,33,94,35.1,8,31,25.8,11,11,100,15,35,50,18,10,12,15,11,-22,,,,,,,,,,
SAC,1/18/17,SAC vs. IND,L,239,100,35,72,48.6,9,21,42.9,21,27,77.8,10,26,36,28,9,5,21,22,-6,,,,,,,,,,
TOR,1/18/17,TOR @ PHI,L,241,89,34,86,39.5,6,24,25,15,23,65.2,12,31,43,17,10,2,9,24,-5,,,,,,,,,,
WAS,1/18/17,WAS vs. MEM,W,240,104,36,80,45,8,29,27.6,24,26,92.3,12,33,45,27,7,3,11,25,3,,,,,,,,,,
BKN,1/17/17,BKN vs. TOR,L,239,109,40,89,44.9,7,26,26.9,22,24,91.7,11,30,41,20,7,6,13,19,-10,,,,,,,,,,
CHI,1/17/17,CHI vs. DAL,L,241,98,37,82,45.1,6,14,42.9,18,22,81.8,11,32,43,23,6,3,13,22,-1,,,,,,,,,,
DAL,1/17/17,DAL @ CHI,W,240,99,37,78,47.4,11,28,39.3,14,18,77.8,6,30,36,27,5,2,12,21,1,,,,,,,,,,
DEN,1/17/17,DEN @ LAL,W,240,127,50,88,56.8,11,26,42.3,16,26,61.5,13,32,45,29,5,9,17,17,6,,,,,,,,,,
HOU,1/17/17,HOU @ MIA,L,241,103,36,90,40,9,39,23.1,22,28,78.6,11,38,49,21,8,3,17,16,-6,,,,,,,,,,
LAL,1/17/17,LAL vs. DEN,L,240,121,47,108,43.5,11,30,36.7,16,18,88.9,20,23,43,28,11,5,12,21,-6,,,,,,,,,,
MIA,1/17/17,MIA vs. HOU,W,240,109,42,90,46.7,9,29,31,16,24,66.7,11,41,52,21,11,1,15,24,6,,,,,,,,,,
MIN,1/17/17,MIN @ SAS,L,241,114,36,73,49.3,6,13,46.2,36,41,87.8,6,33,39,26,5,6,18,22,-8,,,,,,,,,,
SAS,1/17/17,SAS vs. MIN,W,240,122,43,84,51.2,8,18,44.4,28,35,80,6,28,34,27,9,3,7,29,8,,,,,,,,,,
TOR,1/17/17,TOR @ BKN,W,239,119,48,92,52.2,10,19,52.6,13,16,81.3,10,34,44,18,8,6,9,19,10,,,,,,,,,,
ATL,1/16/17,ATL @ NYK,W,241,108,40,87,46,12,32,37.5,16,23,69.6,8,28,36,26,11,3,10,15,1,,,,,,,,,,
BOS,1/16/17,BOS vs. CHA,W,240,108,42,84,50,15,39,38.5,9,10,90,8,36,44,29,6,3,12,11,10,,,,,,,,,,
CHA,1/16/17,CHA @ BOS,L,240,98,38,86,44.2,8,25,32,14,17,82.4,10,32,42,25,4,4,11,15,-10,,,,,,,,,,
CLE,1/16/17,CLE @ GSW,L,241,91,31,88,35.2,9,34,26.5,20,27,74.1,7,28,35,11,7,4,15,21,-35,,,,,,,,,,
DEN,1/16/17,DEN vs. ORL,W,240,125,52,89,58.4,9,27,33.3,12,15,80,9,30,39,33,11,3,14,17,13,,,,,,,,,,
GSW,1/16/17,GSW vs. CLE,W,242,126,46,91,50.5,15,34,44.1,19,24,79.2,11,47,58,37,10,11,16,22,35,,,,,,,,,,
IND,1/16/17,IND vs. NOP,W,241,98,41,81,50.6,5,19,26.3,11,16,68.8,5,40,45,26,11,6,16,18,3,,,,,,,,,,
LAC,1/16/17,LAC vs. OKC,W,239,120,45,82,54.9,12,28,42.9,18,22,81.8,10,37,47,27,9,5,15,15,22,,,,,,,,,,
MIL,1/16/17,MIL vs. PHI,L,240,104,42,89,47.2,5,14,35.7,15,22,68.2,10,28,38,23,8,5,12,23,-9,,,,,,,,,,
NOP,1/16/17,NOP @ IND,L,239,95,36,83,43.4,10,25,40,13,18,72.2,8,30,38,18,7,6,14,17,-3,,,,,,,,,,
NYK,1/16/17,NYK vs. ATL,L,240,107,42,85,49.4,8,26,30.8,15,23,65.2,15,38,53,21,8,3,18,22,-1,,,,,,,,,,
OKC,1/16/17,OKC @ LAC,L,240,98,36,85,42.4,10,30,33.3,16,19,84.2,9,27,36,18,10,4,15,15,-22,,,,,,,,,,
ORL,1/16/17,ORL @ DEN,L,240,112,45,88,51.1,8,25,32,14,18,77.8,7,27,34,28,6,1,14,10,-13,,,,,,,,,,
PHI,1/16/17,PHI @ MIL,W,241,113,35,78,44.9,14,37,37.8,29,36,80.6,13,38,51,25,8,9,18,23,9,,,,,,,,,,
PHX,1/16/17,PHX vs. UTA,L,240,101,40,81,49.4,5,22,22.7,16,17,94.1,6,33,39,13,4,5,9,21,-5,,,,,,,,,,
POR,1/16/17,POR @ WAS,L,241,101,37,88,42,8,26,30.8,19,25,76,14,31,45,22,6,5,15,20,-19,,,,,,,,,,
UTA,1/16/17,UTA @ PHX,W,239,106,41,89,46.1,8,23,34.8,16,24,66.7,14,32,46,22,4,6,8,16,5,,,,,,,,,,
WAS,1/16/17,WAS vs. POR,W,240,120,42,86,48.8,13,23,56.5,23,25,92,12,39,51,26,10,5,12,18,19,,,,,,,,,,
ATL,1/15/17,ATL vs. MIL,W,240,111,42,80,52.5,13,26,50,14,18,77.8,14,23,37,29,9,4,19,20,13,,,,,,,,,,
BKN,1/15/17,BKN vs. HOU,L,238,112,41,93,44.1,15,44,34.1,15,19,78.9,9,29,38,29,9,5,16,25,-25,,,,,,,,,,
CHI,1/15/17,CHI @ MEM,W,240,108,40,78,51.3,4,17,23.5,24,35,68.6,6,41,47,18,8,5,12,14,4,,,,,,,,,,
DAL,1/15/17,DAL vs. MIN,W,239,98,36,77,46.8,12,29,41.4,14,19,73.7,6,35,41,21,8,8,11,18,11,,,,,,,,,,
DET,1/15/17,DET @ LAL,W,240,102,41,95,43.2,9,25,36,11,16,68.8,10,36,46,24,6,6,7,22,5,,,,,,,,,,
HOU,1/15/17,HOU @ BKN,W,240,137,46,92,50,21,44,47.7,24,32,75,13,39,52,30,9,3,13,21,25,,,,,,,,,,
LAL,1/15/17,LAL vs. DET,L,240,97,36,83,43.4,6,26,23.1,19,24,79.2,9,41,50,19,2,4,14,18,-5,,,,,,,,,,
MEM,1/15/17,MEM vs. CHI,L,242,104,40,95,42.1,11,32,34.4,13,13,100,13,37,50,24,6,3,10,22,-4,,,,,,,,,,
MIL,1/15/17,MIL @ ATL,L,240,98,39,79,49.4,6,19,31.6,14,18,77.8,13,23,36,25,11,4,16,25,-13,,,,,,,,,,
MIN,1/15/17,MIN @ DAL,L,241,87,35,80,43.8,5,21,23.8,12,18,66.7,10,34,44,20,7,1,12,16,-11,,,,,,,,,,
NYK,1/15/17,NYK @ TOR,L,240,101,35,84,41.7,12,29,41.4,19,27,70.4,11,30,41,21,7,7,14,16,-15,,,,,,,,,,
OKC,1/15/17,OKC @ SAC,W,241,122,40,90,44.4,9,28,32.1,33,41,80.5,17,27,44,20,14,4,19,28,4,,,,,,,,,,
SAC,1/15/17,SAC vs. OKC,L,240,118,37,81,45.7,9,25,36,35,40,87.5,14,30,44,24,13,6,22,29,-4,,,,,,,,,,
TOR,1/15/17,TOR vs. NYK,W,240,116,44,89,49.4,8,22,36.4,20,23,87,10,32,42,21,9,4,10,20,15,,,,,,,,,,
CHI,1/14/17,CHI vs. NOP,W,239,107,43,101,42.6,8,20,40,13,23,56.5,21,42,63,22,10,6,10,20,8,,,,,,,,,,
LAC,1/14/17,LAC vs. LAL,W,240,113,48,92,52.2,10,28,35.7,7,8,87.5,7,35,42,28,6,6,7,24,16,,,,,,,,,,
LAL,1/14/17,LAL @ LAC,L,242,97,36,80,45,10,21,47.6,15,27,55.6,6,34,40,21,3,2,14,20,-16,,,,,,,,,,
NOP,1/14/17,NOP @ CHI,L,239,99,39,84,46.4,7,23,30.4,14,21,66.7,6,36,42,27,3,6,11,19,-8,,,,,,,,,,
ORL,1/14/17,ORL @ UTA,L,239,107,38,82,46.3,12,34,35.3,19,27,70.4,7,33,40,23,10,2,14,28,-7,,,,,,,,,,
PHI,1/14/17,PHI @ WAS,L,241,93,36,87,41.4,10,31,32.3,11,21,52.4,15,34,49,20,6,2,16,19,-16,,,,,,,,,,
PHX,1/14/17,PHX vs. SAS,W,239,108,39,85,45.9,8,21,38.1,22,24,91.7,15,30,45,18,10,0,15,30,3,,,,,,,,,,
SAS,1/14/17,SAS @ PHX,L,238,105,36,71,50.7,9,20,45,24,34,70.6,6,27,33,15,8,1,16,18,-3,,,,,,,,,,
UTA,1/14/17,UTA vs. ORL,W,243,114,41,83,49.4,7,26,26.9,25,36,69.4,9,35,44,28,6,2,13,20,7,,,,,,,,,,
WAS,1/14/17,WAS vs. PHI,W,239,109,44,91,48.4,8,17,47.1,13,18,72.2,12,38,50,18,9,2,11,18,16,,,,,,,,,,
ATL,1/13/17,ATL vs. BOS,L,241,101,36,84,42.9,11,30,36.7,18,21,85.7,12,31,43,22,5,5,12,17,-2,,,,,,,,,,
BKN,1/13/17,BKN @ TOR,L,241,113,40,86,46.5,17,36,47.2,16,20,80,4,31,35,26,5,1,11,16,-19,,,,,,,,,,
